start_date,country_name,iso3c,duration,geo_scope,shutdown_extent
2016-01-26T00:00:00Z,India,IND,NA,regional,full network
2016-02-16T00:00:00Z,Morocco,MAR,NA,national,service-based
2016-02-18T00:00:00Z,Uganda,UGA,3,national,service-based
2016-02-19T00:00:00Z,India,IND,3,regional,full network
2016-02-22T00:00:00Z,India,IND,1,regional,full network
2016-02-28T00:00:00Z,India,IND,NA,regional,full network
2016-02-28T00:00:00Z,India,IND,NA,regional,full network
2016-03-17T00:00:00Z,Saudi Arabia,SAU,NA,national,service-based
2016-03-18T00:00:00Z,India,IND,NA,regional,full network
2016-03-21T00:00:00Z,Pakistan,PAK,2,regional,full network
2016-03-28T00:00:00Z,Pakistan,PAK,3,regional,full network
2016-04-01T00:00:00Z,North Korea,PRK,NA,national,full network
2016-04-09T00:00:00Z,Chad,TCD,4,national,service-based
2016-04-14T00:00:00Z,India,IND,4,regional,full network
2016-04-16T00:00:00Z,India,IND,NA,local,full network
2016-04-17T00:00:00Z,India,IND,2,regional,full network
2016-05-02T00:00:00Z,Brazil,BRA,1,national,service-based
2016-05-11T00:00:00Z,Uganda,UGA,NA,national,full network
2016-05-14T00:00:00Z,Vietnam,VNM,NA,local,service-based
2016-05-16T00:00:00Z,Iraq,IRQ,145,national,full network
2016-05-16T00:00:00Z,India,IND,367,local,full network
2016-05-22T00:00:00Z,Vietnam,VNM,4,national,service-based
2016-05-30T00:00:00Z,Ethiopia,ETH,9,national,full network
2016-06-01T00:00:00Z,Syria,SYR,13,national,full network
2016-06-04T00:00:00Z,India,IND,NA,regional,full network
2016-06-04T00:00:00Z,Iraq,IRQ,NA,local,service-based
2016-06-15T00:00:00Z,India,IND,3,regional,full network
2016-06-19T00:00:00Z,Algeria,DZA,NA,national,service-based
2016-06-21T00:00:00Z,Pakistan,PAK,NA,regional,full network
2016-06-22T00:00:00Z,India,IND,NA,local,full network
2016-06-22T00:00:00Z,India,IND,NA,regional,full network
2016-06-23T00:00:00Z,Bahrain,BHR,NA,regional,full network
2016-06-28T00:00:00Z,Turkey,TUR,1,national,NA
2016-06-30T00:00:00Z,India,IND,2,regional,full network
2016-07-06T00:00:00Z,Zimbabwe,ZWE,NA,local,service-based
2016-07-07T00:00:00Z,India,IND,NA,regional,full network
2016-07-09T00:00:00Z,India,IND,202,local,full network
2016-07-11T00:00:00Z,Ethiopia,ETH,2,national,service-based
2016-07-15T00:00:00Z,Turkey,TUR,NA,national,service-based
2016-07-19T00:00:00Z,Brazil,BRA,NA,national,service-based
2016-07-19T00:00:00Z,Libya,LBY,NA,regional,NA
2016-07-20T00:00:00Z,Syria,SYR,NA,local,full network
2016-07-31T00:00:00Z,Syria,SYR,11,national,full network
2016-08-01T00:00:00Z,Bangladesh,BGD,NA,local,full network
2016-08-05T00:00:00Z,India,IND,1,regional,service-based
2016-08-06T00:00:00Z,India,IND,2,regional,full network
2016-08-07T00:00:00Z,Ethiopia,ETH,NA,regional,service-based
2016-08-13T00:00:00Z,India,IND,5,regional,full network
2016-08-14T00:00:00Z,Pakistan,PAK,NA,national,full network
2016-08-18T00:00:00Z,Mali,MLI,NA,national,service-based
2016-08-28T00:00:00Z,Gabon,GAB,32,national,NA
2016-08-31T00:00:00Z,Uzbekistan,UZB,NA,national,NA
2016-09-05T00:00:00Z,Pakistan,PAK,1,regional,full network
2016-09-12T00:00:00Z,India,IND,NA,regional,full network
2016-09-16T00:00:00Z,India,IND,1,regional,full network
2016-09-17T00:00:00Z,Egypt,EGY,2,regional,full network
2016-09-18T00:00:00Z,India,IND,2,regional,full network
2016-10-08T00:00:00Z,Turkey,TUR,2,national,service-based
2016-10-10T00:00:00Z,India,IND,2,regional,full network
2016-10-11T00:00:00Z,Pakistan,PAK,1,national,full network
2016-10-15T00:00:00Z,India,IND,5,regional,full network
2016-10-16T00:00:00Z,Montenegro,MNE,NA,national,service-based
2016-10-26T00:00:00Z,Syria,SYR,7,local,NA
2016-10-26T00:00:00Z,Turkey,TUR,5,regional,full network
2016-11-21T00:00:00Z,Pakistan,PAK,NA,national,NA
2016-11-29T00:00:00Z,Pakistan,PAK,NA,local,NA
2016-11-30T00:00:00Z,Gambia,GMB,2,national,full network
2016-12-08T00:00:00Z,India,IND,NA,regional,full network
2016-12-13T00:00:00Z,India,IND,NA,regional,full network
2016-12-18T00:00:00Z,India,IND,12,regional,full network
2016-12-18T00:00:00Z,Congo - Kinshasa,COD,1,national,NA
2016-12-19T00:00:00Z,India,IND,NA,regional,NA
2016-12-19T00:00:00Z,Egypt,EGY,NA,national,service-based
2016-12-19T00:00:00Z,Turkey,TUR,1,national,NA
2016-12-27T00:00:00Z,India,IND,3,regional,NA
2017-01-01T00:00:00Z,Congo - Kinshasa,COD,NA,national,full network
2017-01-14T00:00:00Z,Philippines,PHL,1,local,full network
2017-01-17T00:00:00Z,Cameroon,CMR,93,regional,full network
2017-01-19T00:00:00Z,India,IND,32,local,NA
2017-01-29T00:00:00Z,India,IND,NA,regional,NA
2017-01-30T00:00:00Z,India,IND,21,regional,full network
2017-01-31T00:00:00Z,India,IND,NA,regional,NA
2017-02-01T00:00:00Z,Iraq,IRQ,7,national,NA
2017-02-17T00:00:00Z,India,IND,2,local,NA
2017-02-23T00:00:00Z,Pakistan,PAK,NA,regional,full network
2017-02-25T00:00:00Z,India,IND,1,local,full network
2017-03-15T00:00:00Z,Pakistan,PAK,NA,regional,NA
2017-03-18T00:00:00Z,India,IND,1,regional,full network
2017-03-19T00:00:00Z,Pakistan,PAK,4,local,NA
2017-03-25T00:00:00Z,Belarus,BLR,NA,national,full network
2017-03-31T00:00:00Z,India,IND,6,local,full network
2017-04-09T00:00:00Z,India,IND,4,regional,full network
2017-04-09T00:00:00Z,India,IND,2,regional,full network
2017-04-17T00:00:00Z,India,IND,39,regional,full network
2017-04-18T00:00:00Z,India,IND,1,regional,NA
2017-04-19T00:00:00Z,India,IND,2,local,full network
2017-04-28T00:00:00Z,Iran,IRN,NA,national,service-based
2017-05-15T00:00:00Z,Ukraine,UKR,NA,national,service-based
2017-05-24T00:00:00Z,India,IND,10,regional,full network
2017-05-24T00:00:00Z,India,IND,11,local,full network
2017-05-27T00:00:00Z,India,IND,6,regional,NA
2017-05-30T00:00:00Z,Syria,SYR,14,national,full network
2017-05-30T00:00:00Z,Ethiopia,ETH,9,national,full network
2017-06-05T00:00:00Z,India,IND,NA,regional,NA
2017-06-06T00:00:00Z,India,IND,NA,regional,NA
2017-06-07T00:00:00Z,India,IND,2,regional,NA
2017-06-07T00:00:00Z,Iraq,IRQ,6,national,NA
2017-06-08T00:00:00Z,India,IND,2,regional,full network
